"STA_SERIALCODEе""STA_STATIONCODE""е""STA_STATIONNAME""е""STA_SHORTNAME""е""STA_LOCATION""е""STA_CITY""е""STA_OWNER""е""STA_GROUP""е""STA_HEIGHT""е""STA_LATITUDE""е""STA_LONGITUDE""е""STA_TARGET""е""STA_POWERSUPPLAY""е""STA_STATIONENVIRONMENT""е""STA_MASTHEIGHT""е""STA_DATEOFESTABLISH""е""STA_NOTES""е""STA_COMSTATE""е""STA_COMTYPE""е""STA_DASTYPE""е""STA_COLLECTTIMEINTERVALDAY""е""STA_COLLECTTIMEINTERVALNIGHT""е""STA_COLLECTTIMEOFFSET""е""STA_MAXRECORDNUMBER""е""STA_TELPHONENUMBER""е""STA_PSWSTATE""е""STA_PASSWORD""е""STA_DAILYHOUR""е""STA_MONNUMBER""е""STA_CALIBHOUR""е""STA_TIMEBASE""е""STA_COMLINK""е""STA_STATIONADDR""е""STA_TIME_UPDATE""е""STA_POLLDAYHOUR_START""е""STA_POLLDAYHOUR_END""е""STA_STABDAYHOUR_START""е""STA_STABDAYHOUR_END""е""STA_POLLCALIB""е""STA_POLLMULTICALIB""е""STA_POLLDIGMON""е""STA_BAUDRATE""е""STA_COUNTCALCULATEDCOLUMNS""е""STA_GISLONGATITUDE""е""STA_GISLATATITUDE""е""STA_HOURLYCOMMUNICATION""е""STA_MODEMSTRING""е""STA_POLLDIGINP""е""STA_TIMEZONE""е""STA_AIR_STATECODE""е""STA_AIR_AREACODE""е""STA_AIR_SITECODE""е""STA_APDATA""е""STA_APALARM""е""STA_APCAL""е""STA_PHYS_CALC""е""STA_SAMPLETYPE""е""STA_OUTPUT""е""STA_NODEPEND""е""STA_ALARMSTATE""е""STA_SETBACKTIME""е""STA_STATUS""е""STA_RECALC""е""STA_POLLORDER""е""STA_PICFILE""е""STA_LOGBOOK""е""STA_DADAPTER""е""STA_ACTIVE""е""STA_RUNNINGAVG""е""STA_COMMCENTERID""е""STA_SECONDARYCOMM""е""STA_COMMTRYNUM""е""STA_DATABASEID""е""STA_EDITHISTORY""е""STA_POWEROFF""е""STA_DIAGNOSTICS""е""STA_COMMSPEED""е""STA_SORTVIEW""е""STA_ISHIDDEN""е""STA_O3FACTOR""е""STA_O3BFACTOR""е""STA_ISMOBILE""е""PROVINCEID""е""POSTALCODE""е""STA_AIRSAMPLE""е""STA_STARTSEASON""е""STA_ENDSEASON""е""SUPPORTAGENCYCODE""е""LANDUSEIDENTIFIER""е""LOCATIONSETTINGIDENTIFIER""е""STA_USEAQI""е""STA_USEAQHI""е""STA_USESEASONALSETTINGS""е""STA_AQIGROUP""е""STA_STATIONTAG""е""STA_USEMAPVIEW""е""STA_ENDDATE""е""STA_USER""е""STA_IMAGEPATH""е""STA_IMAGEDATA""е""STA_API_DISPLAY""е""STA_PLANTID""е""STA_ENVIDASAPIIPPORT""е""STA_CONNECTIONSTRING""е""STA_MUNICIPALITY""е""STA_ISO17025""е""STA_DESCRIPTION""е""STA_NETWORK""е""STA_EQUIPMENTOWNER""е""STA_LANDOWNER""е""STA_EQUIPMENTHOUSING""е""STA_SITETOPOGRAPHY""е""TIMEZONEDIFF""е""COORDENADAS"""
"1е1е""Usaquen""е""Usaquen""е""TV-9 No 133-95""е""Bogota""е""SDA""е1е2774е""4.71035""е""-74.03041666666667""е""AIR QUALITY""е""ELECTRICAL POWER""е""2992320""е10е08/08/97 00:00:00е""La estaciєn se encuentra en la azotea del edificio de la Universidad El Bosque, a una altura de 10 m.""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.30.114.100 701""е0е"" ""е12е34е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""19200""е0е""""е""""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1е1е1е0е0е""""е1е0е1е0е0е0е3е0е0е1е1е500е0е0е0е0е0е0е""9999""е0е01/03/13 22:16:53е01/03/13 22:16:53ееее1е1е0е1е""1""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.71035,-74.03041666666667]}"""
"8е1е""Guaymaral""е""Guaymaral""е""Auto Norte KM 13""е""Bogota""е""SDA""е1е2557е""4.78375""е""-74.04413888888888""е""AIR QUALITY""е""ELECTRICAL POWER""е""2992320""е10е24/02/08 00:00:00е""La estacion esta a nivel del suelo, dentro de las enstalaciones de la Escuela de ingenierэa Julio Garavito.""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.31.132.35 701""е0е"" ""е12е49е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""19200""е0е""""е""""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е1е0е0е0е3е0е0е1е1е500е0е0е0е0е0е0е""9999""е0е28/07/14 15:24:48е28/07/14 15:24:48ееее1е1е0е1е""8""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.78375,-74.04413888888888]}"""
"11е1е""Suba""е""Suba""е""Ave Corpas Km 13 / KR 111 157-45""е""Bogota""е""SDA""е1е2553е""4.7612472""е""-74.09346111111111""е""AIR QUALITY""е""ELECTRICAL POWER""е""""е10е05/05/08 00:00:00е""La estaciєn se encuentra ubicada en la Carrera 111 # 159 A-61. Registra el sector noroccidental su escala de medicion es vecindario. Franqueada por el Cerro de la Conejera""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.154.219.18 701""е0е"" ""е12е36е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""19200""е0е""-74.08256""е""4.69056""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е1е0е0е0е3е0е0е1е1е1500е0е0е0е0е0е0е""9999""е0е18/04/13 18:14:51е18/04/13 18:14:51ееее1е1е0е1е""11""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.7612472,-74.09346111111111]}"""
"13е1е""Puente Aranda""е""Puente A""е""Cr 65 No 10-95""е""Bogota""е""SDA""е4е2555е""4.6317667""е""-74.11748333333333""е""AIR QUALITY""е""ELECTRICAL POWER""е""""е10е23/02/08 00:00:00е""La estacion esta a 15 m del suelo,  ubicada en una zona industrial, cercana a una via principal (Avenidas de Las Americas).  Registra el sector centroccidente y sur,  su escala de medicion es vecindario""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.155.251.173 701""е0е"" ""е12е45е23е60е""SOCKETS1""е""1""е0е7е19е7е19е0е0е0е""19200""е0е""-74.11836""е""4.63189""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е0е0е1е0е0е0е3е0е0е0е0е500е0е0е1е0е0е0е""9999""е0е18/04/13 18:14:51е18/04/13 18:14:51ееее1е1е0е4е""30""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.6317667,-74.11748333333333]}"""
"15е15е""USME""е""USME""е""Carretera a Usme No. 16 - 71""е""Bogota""е""SDA""е2е2789е""4.50412""е""-74.14600""е""AIR QUALITY""е""SOLAR""е""2992320""е10е05/05/08 00:00:00е""La estacion esta a nivel del suelo, aledana a una via principal (Agoberto Medina), posee vegetacion arborea que no afecta su registro.	Registra el sector sur,  su escala de medicion es vecindario.""е0е""SOCKETS1""е""ENVIDASFW.NET""е60е60е2е48е""""е0е""""е12е6е23е60е""SOCKETS1""е""15""е0е7е19е7е19е0е0е0е""19200""е0е""""е""""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е0е0е0е0е3е0е0е1е0е500е0е1е0е0е0е0е""9999""е0е18/04/13 18:14:51е18/04/13 18:14:51ееее0е0е0е1е""""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""""е0е""N/A""е""""е""""е""""е""""е""""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.50412,-74.14600]}"""
"27е1е""Bolivia""е""Bolivia""е""Avenida Calle 80  # 121-98""е""Bogota""е""SDA""е4е0е""4.7358056""е""-74.12588888888888""е""AIR QUALITY""е""ELECTRICAL POWER""е""""е0е02/05/12 00:00:00е""""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.28.229.58 701""е0е"" ""е12е26е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""OFF""е0е""""е""""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е1е0е0е0е10е0е0е1е1е500е0е0е0е0е0е0е""9999""е0е18/04/13 18:14:52е18/04/13 18:14:52ееее1е1е0е1е""27""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.7358056,-74.12588888888888]}"""
"17е1е""MinAmbiente""е""MADS""е""CL 37 No. 8 - 40""е""Bogota""е""SDA""е1е0е""4.6254861""е""-74.06698055555555""е""AIR QUALITY""е""ELECTRICAL POWER""е""N/A""е10е25/02/13 00:00:00е""Se encuentra ubicada en la azotea del Ministerio de Ambiente a una altura de 15 m sobre el nivel del suelo.""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""190.24.4.115 701""е0е"" ""е12е36е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""OFF""е0е""""е""""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е1е0е0е0е3е0е0е1е1е500е0е0е1е0е0е0е""9999""е0е01/01/13 00:00:00е01/01/13 00:00:00е0е0е0е1е1е0е0е""17""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.6254861,-74.06698055555555]}"""
"24е1е""San Cristobal""е""San Cris""е""Carrera 2 Este No. 12-78 Sur""е""Bogota""е""SDA""е2е2546е""4.5725528""е""-74.08381388888888""е""AIR QUALITY""е""ELECTRICAL POWER""е""N/A""е10е25/02/13 00:00:00е""N/A""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.30.114.92 701""е0е"" ""е12е40е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""OFF""е0е""""е""""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е1е0е0е0е3е0е1е1е1е500е0е0е1е0е0е0е""9999""е0е01/01/13 00:00:00е01/01/13 00:00:00е0е0е0е1е1е0е0е""24""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.5725528,-74.08381388888888]}"""
"3е1е""Carvajal - Sevillana""е""Carvajal""е""Auto Sur No 61-40""е""Bogota""е""SDA""е4е2557е""4.5958333""е""-74.14850000000001""е""AIR QUALITY""е""ELECTRICAL POWER""е""""е10е21/02/08 00:00:00е""La estacion esta ubicada en una zona industrial en un entorno de fuentes puntuales de contaminantes primarios y se encuentra en la periferia de la Autopista Sur.  Se encuentra a 4 m del suelo.  Registra el sector sur,  su escala de medicion es vecindario.""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.29.78.74 701""е0е"" ""е12е39е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""19200""е0е""-74.15840""е""4.59565""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е1е0е0е0е2е0е0е1е1е500е0е0е1е0е0е0е""9999""е0е18/04/13 18:14:51е18/04/13 18:14:51ееее1е1е0е4е""3""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.5958333,-74.14850000000001]}"""
"9е1е""Kennedy""е""Kennedy""е""Cr 86 No 40-55 Sur""е""Bogota""е""SDA""е4е2553е""4.62505""е""-74.16133333333335""е""AIR QUALITY""е""ELECTRICAL POWER""е""2992320""е10е19/02/08 00:00:00е""La estaciєn se encuentra ubicada dentro de las instalaciones del Parque Cayetano Caёizares""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.154.252.210 701""е0е"" ""е12е36е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""19200""е0е""-74.16135""е""4.62487""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е1е0е0е0е3е0е0е1е1е500е0е0е0е0е0е0е""9999""е0е18/04/13 18:14:51е18/04/13 18:14:51ееее1е1е0е4е""9""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.62505,-74.16133333333335]}"""
"26е1е""Movil 7ma""е""Movil""е""Carrera 7 N░ 60""е""Bogota""е""SDA""е4е0е""4.645""е""-74.06155555555556""е""TRAFIC""е""ELECTRICAL POWER""е""se encuentra ubicada sobre via""е0е22/11/11 00:00:00е""estacion destinada a la ejecucion del convenio 176 con el IDEAM y Trasmilenio para la medicion de parametros en via""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.30.167.220 701""е0е"" ""е12е49е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""OFF""е0е""""е""""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е1е0е0е0е3е0е0е1е1е500е0е0е0е0е1е0е""9999""е0е18/04/13 18:14:52е18/04/13 18:14:52ееее1е1е0е1е""26""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.645,-74.06155555555556]}"""
"5е1е""Centro de Alto Rendimiento""е""CDAR""е""Cl 63 No 47-06""е""Bogota""е""SDA""е5е2548е""4.6583333""е""-74.08388888888888""е""AIR QUALITY""е""ELECTRICAL POWER""е""2992320""е10е26/02/08 00:00:00е""La estaciєn se encuentra ubicada dentro de las instalaciones del Centro de Alto Rendimiento COLDEPORTES.""е1е""SOCKETS1""е""ULT_PLC.NET""е15е15е3е48е""186.30.31.42 701""е0е"" ""е12е52е23е60е""SOCKETS1""е""1""е0е7е19е7е19е1е1е1е""19200""е0е""""е""""е0е""""е0е0е""""е""""е""""е0е0е0е0е0е0е0е1ее1е0е0е""""е1е0е1е0е0е0е3е0е0е1е1е500е0е0е0е0е0е0е""9999""е0е18/04/13 18:14:51е18/04/13 18:14:51ееее1е1е0е5е""5""е1е31/12/99 23:59:59е""""е""""е(BLOB)е1ее""""е""""е""None""е0е""N/A""е""None""е""None""е""None""е""Shelter""е""Flat""е0е""{""""type"""":""""Point"""",""""coordinates"""":[4.6583333,-74.08388888888888]}"""
